	station_id	lat	long	elev
92	964	55.92701363904687	-3.248556775310362	61
93	965	55.945452213917534	-3.219679557435938	57
94	980	55.940906749395	-3.3688722251728223	40
95	981	55.94065528387753	-3.381606403941987	34
96	982	55.93909048596021	-3.355912910873826	43
97	991	55.94173596765826	-3.190360574257738	82
98	1017	55.94475574122453	-3.18691697426982	86
99	1018	55.94969158307013	-3.18781281937504	79
100	1019	55.947097278583385	-3.1972457326126	76
101	1024	55.94023763168944	-3.194640214184801	76
102	1025	55.93970989541296	-3.220588933667954	70
103	1026	55.97544142756835	-3.166806411195239	9
104	1027	55.9483365370385	-3.18226129953905	68
105	1028	55.95003729291336	-3.187821518826922	80
106	1030	55.94380585491596	-3.211238456749925	72
107	1031	55.95264053655981	-3.205665534467016	72
108	1032	55.95135352288074	-3.168590609786974	40
109	1033	55.93193490858167	-3.073045771766146	34
110	1038	55.97132539148155	-3.207963567424258	32
111	1039	55.94740919920712	-3.205765497136553	79
112	1040	55.926664566092654	-3.289467852759799	65
113	1041	55.94405135341408	-3.098567246199309	35
114	1042	55.92446420087144	-3.178731512475451	85
115	1050	55.94607055533778	-3.210396331000765	75
116	1051	55.93836921723555	-3.198032688546618	93
117	1052	55.94664279961712	-3.185474585938891	94
118	1055	55.94442555452843	-3.234497716594433	47
119	1056	55.93437199635734	-3.105037819791278	50
120	1057	55.94820962824952	-3.181597452807864	68
121	1090	55.95787194536338	-3.175888370919665	52
122	1091	55.94955950619123	-3.180413257527789	62
123	1092	55.94179129688128	-3.222415309596499	60
124	1093	55.95197357717703	-3.226124804664096	63
125	1094	55.93997775814967	-3.189862157672223	74
126	1095	55.97593978299806	-3.191321207818646	21
127	1096	55.9438359841253	-3.184951408497681	84
128	1097	55.93796327344498	-3.185021145932069	81
129	1098	55.9364319181482	-3.194150044314256	95
130	1102	55.94558221753474	-3.218192059354351	62
131	1720	55.9607624081837	-3.201278014771333	24
132	1721	55.944248052468346	-3.203104599110474	81
133	1722	55.98003076740317	-3.300641788832536	2
134	1723	55.90880966452917	-3.320141905887681	96
135	1724	55.90840398606208	-3.328825358925314	87
136	1725	55.94211534619251	-3.269286765448441	64
137	1726	55.94485886752089	-3.182589723460069	82
138	1727	55.93650603148236	-3.180166347615113	82
139	1728	55.95791540692348	-3.118332042090287	8
140	1729	55.9640310527501	-3.185175372950425	25
141	1730	55.95995414501485	-3.187197758547654	38
142	1731	55.947566653309394	-3.181591941706529	80
143	1737	55.96411787988959	-3.202094747416367	21
144	1738	55.94564841884953	-3.231847150914063	48
145	1739	55.92063236018849	-3.140540732733598	56
146	1740	55.940886347739024	-3.240777565829148	49
147	1743	55.964058329676064	-3.195700361124863	19
148	1744	55.927985349796536	-3.209749771944871	88
149	1745	55.96037972054591	-3.195470336902758	40
150	1746	55.96391066325888	-3.191861874639585	27
151	1747	55.94166971920444	-3.271523727766862	63
152	1748	55.93341635916104	-3.21239711224257	98
153	1749	55.957278012740645	-3.214285387389054	31
154	1752	55.96264210870907	-3.231915547243943	40
155	1753	55.95953624971772	-3.223434402338853	24
156	1754	55.94191081116495	-3.237800313822617	47
157	1756	55.963453810934496	-3.232909305683961	40
158	1757	55.92758664038103	-3.23367105304419	68
159	1758	55.931980482636575	-3.073104633681168	34
160	1763	55.95941012836135	-3.215661360613694	20
161	1764	55.95657629337518	-3.237939788691392	46
162	1765	55.946063966641006	-3.223024024359574	64
163	1766	55.93894174548949	-3.251110776059022	49
164	1767	55.937123239991095	-3.206431879393449	104
165	1768	55.93532370964813	-3.198763443819871	100
166	1769	55.96085174106396	-3.180985762469163	30
167	1770	55.945045875212095	-3.250881447188249	46
168	1798	55.94760044619224	-3.188919736735215	96
169	1799	55.94479128084842	-3.243673010460725	41
170	1800	55.94894930668582	-3.094727261654725	8
171	1807	55.969442746098885	-3.307258798472374	41
172	1808	55.9387414422504	-3.229909254900902	53
173	1809	55.92781815597736	-3.213307722203224	85
174	1813	55.94406627599551	-3.098561479441612	35
175	1814	55.95524788917224	-3.17221628009507	40
176	1815	55.92668427748757	-3.289481117121666	65
177	1818	55.951089465236365	-3.17572460948655	43
178	1819	55.9088228790413	-3.320113285176247	96
179	1820	55.90841344459825	-3.328783525816887	87
180	1821	55.95159412232485	-3.212354285094022	66
181	1822	55.92738267693901	-3.307442444578868	51
182	1823	55.94007146917616	-3.215335840688084	74
183	1824	55.96901164826488	-3.16739470303429	17
184	1859	55.931168715771065	-3.314414297805683	52
185	1860	55.9387919459937	-3.355556216932513	43
186	1864	55.98260596953824	-3.381454898058535	56
187	1865	55.98676132611317	-3.382426853781425	48
188	1866	55.98989968232655	-3.397772901929727	10
189	1868	55.987743170866025	-3.40375244599943	36
190	1869	55.99018214620787	-3.404603924278717	22
191	1870	55.99052952143077	-3.385596660576908	0
192	1871	55.98110725959637	-3.39421060796127	59
193	1874	55.98376618789104	-3.401351801602175	51
194	1877	55.992957267668345	-3.407156205559118	5
195	2259	55.96791807044289	-3.17358629706473	15
196	2263	55.94388031687606	-3.066753916217862	5
197	2265	55.94400897108537	-3.058492533629163	6
198	2268	55.95653524179326	-3.18624761207468	52
